date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max
20170501,27.1435,15.7435,20.795582,28.280354,15.241692,20.95729,0.5,0.5,18.11841
20170502,20.3435,16.7435,17.855999,19.129244,14.431997,16.919538,11.1,11.1,25.630886
20170503,20.9935,16.4435,18.324747,19.401737,15.271343,17.320448,0.0,0.0,24.766848
20170504,22.4935,17.2435,19.79975,23.841429,16.771841,20.15511,6.6,6.6,25.925
20170505,22.1935,16.7435,19.462248,21.893026,17.908184,19.874636,0.70000005,0.70000005,21.313093
20170506,22.6435,15.1935,18.289331,24.798677,15.3262615,18.62325,0.0,0.0,15.192682
20170507,25.4935,14.9935,19.139334,27.904282,14.713999,19.20049,0.0,0.0,14.973577
20170508,18.9435,15.5435,16.943502,19.26554,13.144512,16.010574,23.400002,23.400002,21.028437
20170509,21.793499,14.143499,18.587248,19.210855,13.872328,17.395643,1.9,1.9,33.510952
20170510,29.793499,13.2435,21.566416,30.545013,12.813545,21.714706,0.0,0.0,17.782686
20170511,31.4435,17.8435,24.52475,34.77433,17.831472,26.27822,1.9,1.9,12.7279215
20170512,21.4435,15.4435,18.460165,24.238163,15.888515,18.758963,28.500002,28.500002,22.782625
20170513,28.793499,13.9435,20.928917,30.403137,13.874882,21.712303,0.0,0.0,16.485485
20170514,23.5935,16.2435,19.926836,25.006845,17.253775,20.872652,0.0,0.0,19.33639
20170515,21.293499,15.9435,18.441416,19.41948,15.636757,17.53571,0.0,0.0,15.986595
20170516,21.9435,13.0435,17.951834,21.309322,12.546219,17.187613,0.8,0.8,17.072504
20170517,24.7435,11.3435,18.070581,25.24395,11.233902,17.906528,0.0,0.0,13.708391
20170518,26.1435,13.8435,19.841415,26.565672,13.441368,19.577078,0.0,0.0,17.782686
20170519,25.2435,16.1935,20.439333,24.29512,15.539373,19.723349,0.0,0.0,20.945072
20170520,26.8935,18.6435,22.189331,28.929974,18.829012,22.641504,0.0,0.0,23.664352
20170521,26.0935,18.1435,21.833084,26.776487,19.008343,22.306326,0.0,0.0,20.3774
20170522,28.1435,17.793499,22.514334,30.136528,19.07847,23.820068,0.0,0.0,19.376562
20170523,23.9435,20.9435,22.274752,27.609787,22.384676,24.817411,13.799999,13.799999,17.974781
20170524,21.543499,17.043499,20.02058,22.894035,16.94098,20.010153,0.90000004,0.90000004,25.721743
20170525,26.293499,13.9935,20.633085,26.625626,13.88863,20.548,0.0,0.0,14.618837
20170526,23.5935,16.043499,19.851831,25.188421,16.17196,20.199972,0.0,0.0,14.05845
20170527,28.6435,14.5935,21.664331,30.192776,14.573515,22.040148,0.0,0.0,15.84
