cluster,is_workday,hour,direction,proportion
1,0,6,inFlow,0.024488198027704817
1,0,6,outFlow,0.010360447185428726
1,0,7,inFlow,0.04121881783406953
1,0,7,outFlow,0.020194521996557368
1,0,8,inFlow,0.048803012836517265
1,0,8,outFlow,0.03095076518349908
1,0,9,inFlow,0.042141444990913116
1,0,9,outFlow,0.030576458584942838
1,0,10,inFlow,0.03641402139368754
1,0,10,outFlow,0.028486224607929104
1,0,11,inFlow,0.03279228691753575
1,0,11,outFlow,0.026398577085324778
1,0,12,inFlow,0.03444252483880403
1,0,12,outFlow,0.027275927265456183
1,0,13,inFlow,0.03248591584066022
1,0,13,outFlow,0.027753206059716137
1,0,14,inFlow,0.03077008024198265
1,0,14,outFlow,0.028755102304077986
1,0,15,inFlow,0.030527957896357212
1,0,15,outFlow,0.031502363325806686
1,0,16,inFlow,0.032644165881358315
1,0,16,outFlow,0.03568234643488186
1,0,17,inFlow,0.031587012596844356
1,0,17,outFlow,0.039632536045181216
1,0,18,inFlow,0.026886328542594262
1,0,18,outFlow,0.038787689600290116
1,0,19,inFlow,0.02146077624574918
1,0,19,outFlow,0.03421898141702785
1,0,20,inFlow,0.018353757735834773
1,0,20,outFlow,0.03204564530496577
1,0,21,inFlow,0.012681960321045734
1,0,21,outFlow,0.03155211043001068
1,0,22,inFlow,0.00363729188949405
1,0,22,outFlow,0.024491543137750826
1,1,6,inFlow,0.038761413972440914
1,1,6,outFlow,0.010449132546369012
1,1,7,inFlow,0.10550324799349511
1,1,7,outFlow,0.0413850662801669
1,1,8,inFlow,0.09819534244993243
1,1,8,outFlow,0.05666270170093739
1,1,9,inFlow,0.03585361194391765
1,1,9,outFlow,0.027712570705570365
1,1,10,inFlow,0.01922444261473308
1,1,10,outFlow,0.0163307323721724
1,1,11,inFlow,0.017521716023066132
1,1,11,outFlow,0.014575217710200481
1,1,12,inFlow,0.018622432569649523
1,1,12,outFlow,0.01566939406244699
1,1,13,inFlow,0.01622274350120627
1,1,13,outFlow,0.015314503618919924
1,1,14,inFlow,0.015597967152431476
1,1,14,outFlow,0.01540297827750671
1,1,15,inFlow,0.017798463422578726
1,1,15,outFlow,0.01840376166187179
1,1,16,inFlow,0.02625443457382186
1,1,16,outFlow,0.0252814010856883
1,1,17,inFlow,0.03510145265115155
1,1,17,outFlow,0.045021353923203215
1,1,18,inFlow,0.02588696940942972
1,1,18,outFlow,0.06791949936552855
1,1,19,inFlow,0.013875950355746625
1,1,19,outFlow,0.05288635177464071
1,1,20,inFlow,0.010959555135057399
1,1,20,outFlow,0.029943236549245793
1,1,21,inFlow,0.00784477037138904
1,1,21,outFlow,0.02440647855734068
1,1,22,inFlow,0.002155733531345284
1,1,22,outFlow,0.017255372136798026
2,0,6,inFlow,0.013374695454434983
2,0,6,outFlow,0.00775717472334294
2,0,7,inFlow,0.02200571827462857
2,0,7,outFlow,0.022869109515282534
2,0,8,inFlow,0.02955308326400853
2,0,8,outFlow,0.037912986611691346
2,0,9,inFlow,0.02974443443955536
2,0,9,outFlow,0.03787189080113367
2,0,10,inFlow,0.028824643533431466
2,0,10,outFlow,0.033036046253435265
2,0,11,inFlow,0.029415194648971382
2,0,11,outFlow,0.03043482615239618
2,0,12,inFlow,0.03257612812928186
2,0,12,outFlow,0.03192007663024356
2,0,13,inFlow,0.03305265067084364
2,0,13,outFlow,0.033952252886779784
2,0,14,inFlow,0.03441110429251502
2,0,14,outFlow,0.03323194127576182
2,0,15,inFlow,0.03691707610030483
2,0,15,outFlow,0.032764844089435426
2,0,16,inFlow,0.041964201579367505
2,0,16,outFlow,0.034278748066600216
2,0,17,inFlow,0.043130974509367245
2,0,17,outFlow,0.03670055455074142
2,0,18,inFlow,0.03626171521288498
2,0,18,outFlow,0.0323224399536757
2,0,19,inFlow,0.02886967137476054
2,0,19,outFlow,0.02646770377768245
2,0,20,inFlow,0.028973664974952962
2,0,20,outFlow,0.024795567867214378
2,0,21,inFlow,0.025235017681732096
2,0,21,outFlow,0.02335920156149176
2,0,22,inFlow,0.01052988891635415
2,0,22,outFlow,0.015484772225696445
2,1,6,inFlow,0.016284460638867824
2,1,6,outFlow,0.007288184268026451
2,1,7,inFlow,0.043148443175763426
2,1,7,outFlow,0.0400541682624883
2,1,8,inFlow,0.050421161383389985
2,1,8,outFlow,0.10475549326797821
2,1,9,inFlow,0.0252144573334795
2,1,9,outFlow,0.05845678039643813
2,1,10,inFlow,0.017112090699588932
2,1,10,outFlow,0.024377416189850155
2,1,11,inFlow,0.017628988767666092
2,1,11,outFlow,0.017895212735696144
2,1,12,inFlow,0.01905539801575002
2,1,12,outFlow,0.019098191834908705
2,1,13,inFlow,0.01871657574750548
2,1,13,outFlow,0.019962903262053477
2,1,14,inFlow,0.02015055960654375
2,1,14,outFlow,0.018376611137552918
2,1,15,inFlow,0.024204423128265182
2,1,15,outFlow,0.018816462075332115
2,1,16,inFlow,0.03604698132327411
2,1,16,outFlow,0.02225031172112538
2,1,17,inFlow,0.06855620225933837
2,1,17,outFlow,0.03716972110810093
2,1,18,inFlow,0.06436072669079357
2,1,18,outFlow,0.043967996405429983
2,1,19,inFlow,0.03068779981913289
2,1,19,outFlow,0.02618226608108675
2,1,20,inFlow,0.023389781464623914
2,1,20,outFlow,0.01660306423878207
2,1,21,inFlow,0.01902680143609389
2,1,21,outFlow,0.014407238907549825
2,1,22,inFlow,0.007411177628977595
2,1,22,outFlow,0.008921948988545888
