日期,工作日标记,人次,筛选范围,站点范围,日期类型,有效日期数
2017-05-01,0,4508754,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-02,1,6771110,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-03,1,6977232,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-05,1,7499496,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-06,0,5104167,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-07,0,4563568,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-10,1,7195947,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-11,1,7070950,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-12,1,7206005,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-13,0,5279967,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-14,0,4738129,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-15,1,7123249,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-16,1,7150592,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-17,1,7190676,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-18,1,7184823,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-19,1,7691783,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-20,0,5468895,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-21,0,4749176,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-22,1,7099685,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-23,1,6868204,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-24,1,7067335,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-25,1,7190177,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-26,1,7295876,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-27,1,7097392,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-28,0,4720399,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-29,0,4513323,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-30,0,4136577,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-05-31,1,6821687,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-01,1,6770863,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-02,1,7189754,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-03,0,4831659,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-04,0,4253382,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-05,1,6751298,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-06,1,6854527,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-07,1,7071617,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-08,1,6994997,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-09,1,7441327,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-10,0,3885367,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-11,0,4522858,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-12,1,6867708,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-13,1,6771512,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-14,1,7124486,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-15,1,7113452,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-06-17,0,5153976,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
